,item_type,id,url,title,location,price,rooms,m2
4029,listing_no_promo,58620280,https://www.otodom.pl/oferta/przestronne-2-pokoje-przy-matecznym-ID3XXOo.html#f4f90ae749,Przestronne 2 pokoje przy Matecznym,"Mieszkanie na sprzedaż: Kraków, Podgórze",511 485 zł,2 pokoje,"52,46 m²"
4030,listing_no_promo,58625504,https://www.otodom.pl/oferta/98m2-do-remontu-przy-kleparzu-z-winda-ID3XZaE.html#f4f90ae749,98m2 do remontu przy Kleparzu z windą!,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",799 000 zł,3 pokoje,98 m²
4031,promo_top_ads,58802852,https://www.otodom.pl/oferta/przytulne-mieszkanie-z-duzym-ogrodkiem-ID3YJj6.html#f4f90ae749,Przytulne mieszkanie z dużym ogródkiem,"Mieszkanie na sprzedaż: Kraków, Mydlniki",395 000 zł,2 pokoje,44 m²
4032,promo_top_ads,58388308,https://www.otodom.pl/oferta/przestronne-mieszkanie-na-poddaszu-2-balkony-a-ID3VZsU.html#f4f90ae749,"Przestronne mieszkanie na poddaszu, 2 balkony -A","Mieszkanie na sprzedaż: Kraków, Bronowice",367 350 zł,3 pokoje,"46,50 m²"
4033,promo_top_ads,57950132,https://www.otodom.pl/oferta/mieszkanie-30-m-krakow-ID3W9ty.html#f4f90ae749,"Mieszkanie, 30 m², Kraków","Mieszkanie na sprzedaż: Kraków, Grzegórzki",274 500 zł,1 pokój,30 m²
4034,listing_no_promo,58631328,https://www.otodom.pl/oferta/duzy-potencjal-stare-miasto-centrum-dluga-ID3Y0GA.html#f4f90ae749,Duży potencjał - Stare Miasto / Centrum / Długa,"Mieszkanie na sprzedaż: Kraków, Stare Miasto",498 500 zł,2 pokoje,"69,86 m²"
4035,listing_no_promo,58631284,https://www.otodom.pl/oferta/ul-chmielna-nowe-4-5-6-pokojowe-ID3Y0FS.html#f4f90ae749,ul. Chmielna NOWE 4-5-6 pokojowe,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",499 000 zł,6 pokoi,63 m²
4036,listing_no_promo,58631264,https://www.otodom.pl/oferta/ul-chmielna-nowe-2-pokojowe-ID3Y0Fy.html#f4f90ae749,ul. Chmielna NOWE 2 pokojowe,"Mieszkanie na sprzedaż: Kraków, Kurdwanów",275 000 zł,2 pokoje,31 m²
4037,listing_no_promo,58631188,https://www.otodom.pl/oferta/komfortowe-4-pokoje-w-przedsprzedazy-ID3Y0Ek.html#f4f90ae749,Komfortowe 4 pokoje w przedsprzedaży,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",423 200 zł,4 pokoje,"59,20 m²"
4038,listing_no_promo,58631184,https://www.otodom.pl/oferta/4-pokoje-z-ogrodkiem-skorzystaj-z-przedsprzedazy-ID3Y0Eg.html#f4f90ae749,4 pokoje z ogródkiem - skorzystaj z przedsprzedaży,"Mieszkanie na sprzedaż: Kraków, Bronowice Wielkie",604 200 zł,4 pokoje,"90,17 m²"
4039,listing_no_promo,58631180,https://www.otodom.pl/oferta/dwupoziomowy-apartament-w-otoczeniu-zieleni-ID3Y0Ec.html#f4f90ae749,Dwupoziomowy apartament w otoczeniu zieleni,"Mieszkanie na sprzedaż: Kraków, Bronowice Małe",548 400 zł,5 pokoi,"85,70 m²"
4040,listing_no_promo,58631156,https://www.otodom.pl/oferta/3-pokoje-balkon-zachodnie-ID3Y0DO.html#f4f90ae749,"3 pokoje + balkon, zachodnie","Mieszkanie na sprzedaż: Kraków, Prądnik Biały",399 400 zł,3 pokoje,"52,21 m²"
4041,listing_no_promo,58631152,https://www.otodom.pl/oferta/kawalerka-przedsprzedaz-ID3Y0DK.html#f4f90ae749,Kawalerka - przedsprzedaż,"Mieszkanie na sprzedaż: Kraków, Prądnik Biały",290 700 zł,1 pokój,"29,52 m²"
4042,listing_no_promo,58630956,https://www.otodom.pl/oferta/ul-czyzewskiego-lobzow-ID3Y0AA.html#f4f90ae749,ul. Czyżewskiego Łobzów,"Mieszkanie na sprzedaż: Kraków, Łobzów",379 000 zł,2 pokoje,43 m²
